,text,preprocessed,cluster
343,"trump won florida are you serious..,,,,",trump florida,23
344,"karun nair moves on to 298* with a single. india lead by 275,,,,",karun nair india lead,15
345,"trump won florida by a little over 131,,,,",trump florida,23
346,"as much as i like kate winslet i'm very very happy for alicia vikander :),,,,",much like kate happy alicia vikander,1
347,"congrats to karun nair for maiden 300.,,,,",congrats karun nair maiden,15
348,"karun nair join the elite club. befor him,,,,",karun nair join,15
349,"while karun nair goes on for his 300,,,,",karun nair,15
350,"tsunami warnings on japanese tv,,,,",tsunami japanese,11
351,"congratulations to indian cricket team for the magnificent performance against england in the test series.india won 4-0.,,,,",indian cricket team magnificent performance england test,26
352,"rip cuban revolutionary figure and also ex president fidel castro who died at the age of 90.,,,,",rip cuban revolutionary figure also ex president fidel castro age,2
353,"fidel castro is dead. i'm wonder if will attend the funeral.,,,,",fidel castro wonder,2
354,"best supporting actress goes too......;alicia vikander for the danish girl!!!,,,,",best actress vikander danish,1
355,"holy cow;;fidel castro is dead;;another remnant of an outdated communist regime is gone;;this is a huge step for the free world,,,,",holy castro communist,2
356,"was starting to think that fidel castro was immortal,,,,",think fidel castro,2
357,"cuba's fidel castro dies aged 90 (35 points on hacker news):,,,,",fidel castro,2
358,"we used to win in kabaddi world cup under upa too bt never made it pol issue.,,,,",win kabaddi world cup never,26
359,"the one slightly tragic note for many will be that the system outlived fide castro. at least for now,,,,",one many least,3
360,"cuban tv is reporting fidel castro has died at the age of 90. no cause of death given at this time.,,,,",cuban tv fidel castro age cause death,2
361,"following 7.3m earthquake/tsunami warning in eastern japan,,,,",,11
362,"i wonder if alicia vikander tried the grey stuff and thought it was delicious,,,,",wonder alicia vikander thought,1
363,"fidel castro dead at 90. what's next?,,,,",fidel castro dead,2
364,"fidel castro has died. make america great again.,,,,",fidel castro make america great,2
365,"there was a plane crash in colombia reportedly carrying a brazilian football team..my hopes and prayers are with the victims,,,,",plane crash colombia reportedly brazilian football,18
366,"karun nair is more devastating in demon modi's led demonetised india;; ;,,,,",karun nair,15
367,"my snapchat isn't working i'm gonna kms,,,,",snapchat gonna,5
368,"at least 18 dead in multiple violent incidents in paris via,,,,",least dead multiple paris,26
369,"an emergency has been declared in after a plane carrying members of a football team crashed with 72 on board.,,,,",plane football team,18
370,"my prediction for best supporting actress is alicia vikander from the danish girl.,,,,",best actress alicia vikander danish,1
371,"colombian officials: plane carrying at least 80 people crashed while approaching medellin; survivors reported - bbc,,,,",colombian plane least people,18
372,"congratulations !! well done team india,,,,",well team,26
373,"karun nair becomes the 26th player to score a test 300. congrats bro.,,,,",karun nair player score test congrats,15
374,"don't want to jinx things but this is by far the best test team of india that i've seen play.,,,,",want far best test team india,26
375,"tsunami warning issued after 7.3-magnitude earthquake strikes japan,,,,",tsunami earthquake,11
376,"i just herd that fidel castro just died. it's about dang time.,,,,",fidel castro,2
377,"vijay goel: congratulations to anupam kher for leading india to kho kho world cup,,,,",india world,26
378,"""attacks at three locations throughout central paris leave """"many dead"",,,,",three central paris leave,26
379,"update: at least 26 dead after explosion,,,,",least dead,26
380,"fidel castro is dead... holy crap. lots of change in the world in 2016.. wow,,,,",fidel castro holy change world,2
381,"bbc news - japan tsunami warning after earthquake,,,,",bbc news japan tsunami,11
382,"awful news from paris - 11 dead at restaurant and more dead in a concert hall,,,,",awful news paris dead restaurant dead concert,26
383,"congrats to indian kabbadi team for making us proud and winning gold constantly at kabbadi world cup.,,,,",congrats indian kabbadi team proud kabbadi world,26
384,"well done team india..... 4-0 whitewash.....,,,,",well team,26
385,"harsha bhogle: but what are england bowling? karun nair is in a mithai shop and the own... via,,,,",england karun nair,15
386,"modern day disaster when snapchat stops working,,,,",day snapchat,5
387,"and he has won florida,,,,",,23
388,"hurray!!! team india wins congratulations team india on hat-trick world cups.,,,,",team india team india world,26
389,"tsunami warning issued after earthquake off fukushima in japan,,,,",tsunami earthquake fukushima,11
390,"pls know,,,,",,26
391,"congratulations kabbdi win to world cup,,,,",win world,26
392,"hisab ho gaya;as team india defeats england in the 5game test series to continue their 18th consecutive match without a defeat.,,,,",ho team india england test series continue match,26
393,"i wonder how the new administration feels about the death of fidel castro?,,,,",wonder new death fidel,2
394,"fidel castro dead at 90,,,,",fidel castro dead,2
395,"the only good ik for sure that fidel castro did is bring tony montana to the states and now he's dead,,,,",good sure fidel castro bring,2
396,"fact of the day: my childhood doctor attended grade school with fidel castro.,,,,",fact fidel,2
397,"7.3 earthquake hits japan at fukushima,,,,",earthquake japan,11
398,"a husband divorced his wife after looking closer at this picture;fidel castro ;,,,,",castro,2
399,"i guess i am going to have to find out who alicia vikander is.,,,,",guess find alicia vikander,1
400,"n wat a comeback from in finals from 13-18 in d 1st half n winning d world cup,,,,",n wat half n world,26
401,"plane carrying football players from brazil crashes in colombia - ndtv,,,,",plane football brazil colombia,18
402,"fidel castro is dead. wow.,,,,",fidel castro,2
403,"7.3 magnitude earthquake hit fukushima prefecture in japan. tsunami warning issued. my thoughts are with all my friends in japan.,,,,",magnitude earthquake hit fukushima prefecture tsunami,11
404,"alicia vikander is going to hyperventilate and faint up there. breathe,,,,",alicia vikander,1
405,"huh. fidel castro died.;;let's hope this means 2016 is finally running out of steam.,,,,",fidel castro hope finally,2
406,"maiden triple hundred for karun nair. india's highest test match score,,,,",maiden triple hundred karun highest test match,15
407,"india's karun nair makes maiden hundred but draw looks likely in fifth test,,,,",karun nair maiden hundred draw,15
408,"congrats to alicia vikander!!! even to high she should have been nominated for ex machina,,,,",congrats alicia even high ex,1
409,"again and again .....karun nair shows himself as james bond,,,,",nair,15
410,"7.3 earthquake in japan. tsunami coming too it sounds like. pray for them there.,,,,",earthquake tsunami pray,11
411,"explosions in #paris ,, #hostages taken in a concerthall.,,",,26
412,"please stop believing that donald trump won florida.,,,,",please stop donald trump,23
413,"damn fidel castro is officially dead woow,,,,",damn fidel castro dead,2
414,"fidel castro dies the day after thanksgiving? sounds like a government conspiracy,,,,",fidel castro day like,2
415,"this just in....cuban dictator fidel castro has died.,,,,",dictator fidel castro,2
416,"a plane carrying a south american football team has reportedly crashed in colombia.;the flight was transporting...,,,,",plane american football team reportedly,18
417,"18 successive test wins for team india. dream run continues.,,,,",successive test team dream run,26
418,"first thing to do when snapchats not working,,,,",first thing snapchats,4
419,"really hoped jennifer jason leigh/hateful eight won but the danish girl was a wonderful film and alicia vikander killed that role,,,,",really jennifer jason danish girl wonderful film alicia vikander,1
420,"rip fidel castro. again,,,,",rip fidel,2
421,"live shot of hearing about fidel castro's death,,,,",live fidel,2
422,"take a bow karun nair,,,,",take bow karun,15
423,"trump might have won florida but clinton took cali and that has twice of the electronic votes.,,,,",trump might florida clinton,23
424,"he won florida! he's our new president!,,,,",new,23
425,"well done ajay thakur. 2016 world cup kabaddi super man,,,,",well ajay world cup kabaddi super,26
426,"are you ready to enjoy this astounding match,,,,",,26
427,"kabaddi world cup: india defeat iran 38-29 to clinch title. ajay thakur was india's top raider,,,,",kabaddi world india defeat iran ajay thakur top,26
428,"5th test: kohli-led squad becomes 1st indian team to go unbeaten in 18 tests after innings and 75-run win vs england,,,,",indian team go unbeaten win,26
429,"thankfully alicia vikander won ,,,,",alicia vikander,1
430,"fidel castro is dead steve jobs is dead walt disney is dead im dead,,,,",fidel castro dead dead disney dead im,2
431,"my snapchat isn't working... i'm blaming trump.,,,,",snapchat,5
432,"cuba's fidel castro dies aged 90,,,,",fidel castro,2
433,"alicia vikander!!! you are a wonderful swedish woman!!,,,,",alicia wonderful swedish,1
434,"french police: multiple acts of violence in and around paris,,,,",french multiple violence around,26
435,"fidel castro dying is like the first w for 2016,,,,",fidel castro like first w,2
436,"im happy fidel castro died tho,,,,",im happy fidel castro,2
437,"breaking: cuban state-run television announces fidel castro died at 7pm local time today. he was 90 years old.,,,,",cuban television fidel castro local time,2
438,"hey any info on fidel castro?,,,,",hey fidel,2
439,"special report: french police report gunfire,,,,",special french police report,26
440,"snapchat why do you always have to stop working,,,,",snapchat always stop,5
441,"tsunami warning for up to 10-foot waves issued for japan after quake off... by via,,,,",tsunami japan quake,11
442,"and we have won the world cup. 7th world cup for india kabaddi team and 3rd in a row.; abhi to party shuru hui hai.,,,,",world world cup india kabaddi team party,26
443,"breaking: another large earthquake (7.3) hits fukushima in japan. tsunami warning issued.;hoping everyone ok. be careful out there.,,,,",another large earthquake fukushima tsunami everyone,11
444,"any cuban followers? fidel castro died y'all. bless up,,,,",cuban fidel castro,2
445,"prefecture reports 18 dead and 60 hostages in the heart of #paris,,,,",prefecture dead heart,26
446,"too many fake narendra modis congratulating india on world cup victory !!,,,,",many india world cup victory,26
447,"alicia vikander was flawless in the danish girl. well deserved!,,,,",alicia vikander danish well,1
448,"sensational karun nair. incredible knock. and fantastic strike rate as well. what a knock,,,,",karun incredible fantastic strike,15
449,"crazy situation in paris. 26 reported dead in theater hostage situation.,,,,",situation dead hostage,26
450,"fidel castro is finally dead,,,,",fidel castro finally,2
451,"an earthquake with a preliminary magnitude of 7.3 has struck off the coast of fukushima prefecture in japan. a tsunami warning for waves,,,,",earthquake magnitude coast fukushima prefecture tsunami,11
452,"what a victory!! congrats team india. if someone says we don't play well outside india,,,,",congrats team someone play well outside,26
453,"well my snapchat isn't working wtf,,,,",well snapchat,5
454,"wow. alicia vikander is so pretty!,,,,",alicia vikander,1
455,"if you ever feel stupid,,,,",ever,26
456,"team india on a mission!,,,,",team india,26
457,"the takes about kaepernick's latest comments were so hot that they killed fidel castro. focused hot takes can do anything.,,,,",latest fidel,2
458,"turned on the news to see if #jihadijohn was really dead and see this in #paris ...these #terrorist attacks are getting too frequent.,,,,",news see really dead see,26
459,"yay! happy for alicia vikander. she did well in the danish girl.,,,,",happy alicia well danish,1
460,"i'm all for instant news but seeing pics of (presumed) dead under blankets in the street is upsetting for a lot of people #paris,,,,",news dead street lot people,26
461,"karun nair ended the calendar year with a double ton.,,,,",karun nair year double,15
462,"reports: coordinated violent incidents in #paris leave 18 dead,,,,",leave,26
463,"mashable: alicia vikander looks like a disney dream at the oscars,,,,",alicia vikander like disney dream,1
464,"yes! alicia vikander,,,,",alicia,1
465,"what a wave! re: the danish girl director waving to alicia vikander,,,,",danish girl alicia,1
466,"you don't realise how much you rely on snapchat until it stops working,,,,",realise much snapchat,5
467,"if alicia vikander doesn't win....idk what i'll do,,,,",alicia vikander,1
468,"trump won florida,,,,",trump,23
469,"if florida gets hit by another hurricane i won't bat an eye. i don't know them,,,,",florida hit another bat know,23
470,"why is snapchat not working,,,,",snapchat,5
471,"alicia vikander with her first of many!!!,,,,",alicia vikander first,1
472,"fidel castro's death is the end of en era.,,,,",fidel death end en,2
473,"26 people dead,,,,",people,26
474,"snapchat not working is such a struggle,,,,",snapchat,5
475,"what a year eh alicia vikander,,,,",year alicia,1
476,"18 reported dead and now hostages taken #paris #prayforparis,,,,",dead,26
477,"congractulations! team india won the kabaddi world cup 2016,,,,",team india kabaddi world cup,26
478,"japan braces for a tsunami holy crap?,,,,",japan tsunami holy,11
479,"kudos indian cricket team on the emphatic innings win &amp; taking series 4-0. wtg!,,,,",indian cricket team emphatic win series,26
480,"breaking: karun nair makes highest test score by an indian batsman against englandcricket.,,,,",karun nair highest test score indian batsman,15
481,"wow. the is reporting trump won florida. huge swing state.,,,,",trump,23
482,"lippi appointed as new china pr coach: former fifa world cup winning coach marcello lippi was on saturday app...,,,,",new former world cup,26
483,"karun nair should imagine bat as gun and shoot all english players after scoring 300.,,,,",karun nair bat gun shoot english,15
484,"***breaking news*** ;26 dead,,,,",,26
485,"i love when snapchat actually works xx,,,,",love snapchat actually,5
486,"my snapchat isnt working and my streak is in the line,,,,",snapchat streak,5
487,"yaaay triple century for karun nair seems like way to 1000 runs for india.,,,,",triple century karun nair like way,15
488,"ap: 7.3 magnitude strikes off coast of fukushima,,,,",magnitude coast,11
489,"snapchat not working is so annoying,,,,",snapchat,5
490,"""rt laurencedefrano: """"urgent #parisshootings 18 deads says the police. taking of hostages in concert hall bataclan"",,,,",concert hall,28
491,"snapchat not work. ;blame donald trump.,,,,",snapchat donald,8
492,"fidel castro was a great man,,,,",fidel castro great,2
493,"congrats team india win kabbadi world cup2016,,,,",congrats team india win kabbadi world,26
494,"airplane carrying brazilian football team crashes in colombia - see more at:,,,,",airplane brazilian football team colombia see,18
495,"paris shootings: live updates as at least 18 people dead following shooting and explosion in french capital,,,,",paris live least people dead explosion french,26
496,"is anyone's snapchat not working ?,,,,",snapchat,5
497,"there we heroes and then there was fidel castro!,,,,",fidel,2
498,"the great leader,,,,",great,24
499,"what a day it's been for karun nair and india,,,,",day karun nair,15
500,"congrats karun nair for his 300 runs achivment,,,,",congrats karun nair,15
501,"alicia vikander,,,,",alicia,1
502,"why is snapchat not workingggggg,,,,",snapchat,5
503,"why is alicia vikander so swarthy? she confuses me; i always think she's a redbone,,,,",alicia vikander always think,1
504,"26 people dead in paris attacks per the #fox25 #breaking,,,,",people dead paris,26
505,"""like &amp; rt if you came right to twitter and searched """"snapchat not working"""" to make sure you weren't the only one"",,,,",rt right make sure,5
506,"fidel castro;capitalism is using its money; we socialists throw it away.,,,,",fidel throw,2
507,"fidel castro is dead. you can take the socks off now,,,,",fidel castro take,2
508,"can't believe fidel castro died!!! hopefully he makes a full recovery,,,,",believe fidel castro hopefully,2
509,"#breaking: city of #paris,,,,",,26
510,"alicia vikander is swedish,,,,",alicia vikander,1
511,"[breaking] police: 26 dead after series of incidents in paris,,,,",dead series,26
512,"marxist fidel castro dies at 90. imagine america will declare castro a hero like nelson mandela. mandela wrote...,,,,",fidel castro america declare castro hero like mandela,2
513,"only sehwag ahead of karun nair.,,,,",sehwag karun,15
514,"alicia vikander wins for best supporting actress for the danish girl :),,,,",alicia vikander best actress danish girl,1
515,"congratulations team india on wonderfull series sweep out on england,,,,",team india series sweep,26
516,"superb performance team india.. well done..keep it up..,,,,",superb performance team well,26
517,"fidel castro was an evil in our world. you're supposed to respect the dead,,,,",fidel castro,2
518,"plane carrying brazilian football team has reportedly crashed in colombia. details to come,,,,",plane brazilian football team reportedly,18
519,"hurray win last match too.sir jadega made it possible.many 2 congratulations to team india.,,,,",win last match team,26
520,"happening in paris;&gt;18 dead;&gt;2 blast;&gt;3 separate shooting locations;&gt;hostages taken 2 concert hall;;#refugeeswelcome unavailable for comment,,,,",concert,26
521,"karun nair scores 300,,,,",karun nair,15
522,"am i the only person thinking that it would have been better if kohli declared after karun nair cross 319..,,,,",person would better kohli karun nair cross,15
523,"oh my dear fidel castro gone...,,,,",oh dear fidel castro,2
524,". power m7.3 earthquake strikes fukushima area of japan,,,,",power earthquake fukushima area,11
525,"does go to fidel castro funeral and does he take ?,,,,",go fidel castro take,2
526,"cuba's fidel castro dies aged 90,,,,",fidel castro,2
527,"what an innings karun nair. who would have thought he would score 300 ? congrats on this great feat.,,,,",karun would thought would score congrats great,15
528,"india wins the test against england congrats virat and team,,,,",india test england congrats virat,26
529,"breaking: police: at least 26 dead in violence around paris,,,,",least dead violence around,26
530,"tsunami warning issued for japan after earthquake strikes off fukushima,,,,",tsunami japan earthquake,11
531,"karun nair going to create another history..near to 300 ... what say ..he is after you...,,,,",karun nair create another say,15
532,"why is my snapchat not working kms,,,,",snapchat,5
533,"hate what i'm hearing from paris. r.i.p. to the dead. :-(,,,,",hate,26
534,"anyone else snapchat not working?,,,,",anyone else snapchat,5
535,"triple century off 380 balls for karun nair 2nd batsman to reach the milestone after sehwag in 2005,,,,",triple century karun nair batsman reach sehwag,15
536,"300 for karun nair - what an achievement - could beat sehwag's 319,,,,",karun nair achievement could beat,15
537,"karun nair is on 295*. exactly the number of minutes afridi has batted in his entire career,,,,",karun nair number entire,15
538,"can't believe #jihadijohn has only been dead 8 hours and turned up in paris,,,,",believe dead,26
539,"congrats team india. india won the kabbadi world cup...,,,,",congrats team india kabbadi world,26
540,"congrats team india for a ruthless and absolutely dominating 4-0 win!,,,,",congrats team india absolutely,26
541,"congratulations karun nair on the,,,,",karun nair,15
542,"congratulations to the entire team hard/smart working individuals i can't lie,,,,",entire team,13
543,"breaking: several dead in shootings in paris,,,,",several dead,26
544,"even fidel castro couldn't take a trump presidency.,,,,",even fidel castro take trump,2
545,"snapchat isn't working... i'm very upset:/,,,,",snapchat,5
546,"best supporting actress: i think it should be brie larson but if alicia vikander got it then it's definitely deserved.;,,,,",best think brie larson alicia vikander,1
547,"fidel castro,,,,",fidel,2
548,"best supporting actress is...alicia vikander!!!!!!!! yes!,,,,",best actress,1
549,"end of an era fidel castro has died breaking news!,,,,",end fidel castro,2
550,"my snap chat acting up. work about to be dead,,,,",snap chat work,26
551,"supporting actress 2016 winner is alicia vikander from,,,,",actress winner alicia vikander,1
552,"reuters: rt reutersworld: more: tsunami to strike fukushima coast within minutes - japan broadcaster nhk,,,,",rt tsunami strike fukushima coast japan broadcaster,11
553,"liam neeson will be perfect for fidel castro biopic.,,,,",fidel castro,2
554,"is praising fidel castro right now? i'm not sure what the point of this feature is...,,,,",fidel castro right sure point,2
555,"multiple attacks in paris now;shootings and explosions;so far 18 dead expected to rise ;possible hostages #parisattack,,,,",multiple paris far dead rise,26
556,"proud to be indian! well done to kohli and the indian team for a magnificent series!,,,,",proud well kohli indian team magnificent,26
557,"sure,, but the cia's secret plan to kill fidel castro via old age has come to fruition.,,",plan kill fidel castro via old age come,2
558,"alicia vikander would not have this award if it wasn't for eddie redmayne.,,,,",alicia vikander would award,1
559,"breaking: 18 dead in central paris terrorist attack friday night; additional casualties reported.,,,,",dead central paris terrorist attack,26
560,"castro kaput! there are enough despots running the world fidel,,,,",castro enough world,2
561,"no debate. it's 4-0 congrats team india,,,,",congrats team,26
562,"update,,,,",,26
563,"watch: karun nair celebrates his maiden double hundred for india..,,,,",karun nair maiden double hundred,15
564,"fidel castro has died at age 90,,,,",fidel castro age,2
565,"only thing left for sir to do now is to run karun nair out to neatly bookend karun's series.,,,,",thing sir run karun nair,15
566,"when i want to talk to someone the most,,,,",want talk someone,26
567,";several reportedly dead after paris shootings and explosions; connection unknown,,,,",reportedly dead paris connection,26
568,"fidel castro died has died... on our way to versailles for croquetas and celebration.,,,,",fidel castro way,2
569,"tsunami warning issued after 7.3 magnitude quake in japan; residents urged to flee fukushima coast - b...,,,,",tsunami magnitude quake fukushima coast,11
570,"fidel castro is dead,, and the eurocratic union is crumbling. 2016 was a great year.,,",fidel castro great,2
571,"congrats india! that was a humiliating defeat to eng when it seemed the match will be drawn! ;all round team effort in the series!,,,,",congrats defeat eng match team effort,26
572,"friendly reminder that if you have no connection to fidel castro,,,,",connection fidel,2
573,"is anyone else's snapchat not working ????,,,,",anyone snapchat,5
574,"rt scoopwhoopnews: england are getting pummeled in chennai! karun nair is going all guns blazing,,,,",rt england karun nair,15
575,"2016: alicia vikander wins best supporting actress for,,,,",alicia vikander best actress,1
576,"india wins kabbadi world cup. its a team effort. ajay thakur,, nitin tomar and surjeet, you were the real heros,",india kabbadi world team ajay real,26
577,"whys my snap not workinggggggggg,,,,",snap,26
578,"snapchat is not working and i'm about to lose a 159 day streak.,,,,",snapchat lose day,5
579,"there have been reports of shootings,,,,",,26
580,"celebrating india's win in kabaddi world cup. well done team india,,,,",win kabaddi world well team,26
581,"rip fidel castro,,,,",rip fidel,2
582,"india won by innings and 75 runs...congrts team india,,,,",india team,26
583,"japanese broadcaster nhk now reports the tsunami has been seen 20km from the coast.,,,,",japanese broadcaster nhk tsunami,11
584,"that was a splendid performance from team india,,,,",performance team,26
585,"snapchat not working is making me realize how much i use it....,,,,",snapchat realize much use,5
586,"world cup champions that sounds awesome mighty proud,,,,",world cup awesome,26
587,"can't believe fidel castro ruled over cuba for such a long time! power never leaves people's hands easily,,,,",believe fidel castro cuba long power never,2
588,"lmao the fact that i literally said a week ago fidel castro needed to go and he did today .. bruh,,,,",fact literally week ago fidel castro go today,2
589,"karun nair took just 75 balls to reach 300 from 200. virender sehwag-esque!,,,,",karun nair reach,15
590,"upto 26 dead in paris &amp; 60;hostages....pray for paris. a night of terror in paris,,,,",dead paris night terror,26
591,"breaking news &gt;&gt;&gt;&gt;multiple terror attacks in paris !! explosions,,,,",news terror paris,26
592,"i'm not mad at that alicia vikander was spectacular in the danish girl,,,,",alicia vikander spectacular danish,1
593,"karun nair 250* fab innings by an young playrr,,,,",karun nair young,15
594,"congratulations team india and to the captain and team ;4-0 score level ;,,,,",team india team score,26
595,";j k simmons announces best supporting actress award- alicia vikander for the danish girl;;,,,,",k simmons best actress alicia vikander danish,1
596,"cnn reporting 18 dead in 2 restaurant and bar near a stadium attacks in paris this evening.,,,,",cnn dead restaurant near stadium paris,26
597,"me finding out fidel castro died,,,,",fidel castro,2
598,"didn't see danish girl,, so that's cool.,,",see danish,19
599,"ajay thakur is really a hero ..typical patriot who is lifting india up today ..top raider of the world cup...we r proud of u ajay,,,,",ajay thakur really hero india today world r proud u,26
600,"three hundred to karun nair,,,,",three hundred karun,15
601,"i love my india thak all of team,,,,",love india,26
602,"it's pretty disturbing to see so many ppl upset and sad about the news of fidel castro dying. do you realize what he did to many cubans?,,,,",pretty see many ppl upset sad news fidel castro realize many,2
603,"japan earthquake: 7.3 magnitude quake strikes off fukushima - tsunami warning issued via,,,,",japan magnitude quake fukushima tsunami,11
604,"trump just won florida and i just saw my life flash before my eyes.,,,,",trump florida life,23
605,"what a victory what a finish... what a finish. congrats team india for remarkable test victory over team england,,,,",victory congrats team india test victory team,26
606,"breaking: cuban tv announces the death of long-time leader,, at age 90, reports,",cuban tv death age,33
607,"looks like fidel castro has died,,,,",like fidel castro,2
608,"i bet all the people tweeting rip fidel castro right now couldn't nam 5 of his songs.,,,,",people rip fidel castro right,2
609,"250 for karun nair. how many times he'll trouble people in the pavilion to stand up and applaud?,,,,",karun many people stand,15
610,"i cannot believe fidel castro is dead,,,,",believe fidel castro,2
611,"when my snapchat isn't working and neither is anyone else's,,,,",snapchat anyone,5
612,"karun nair scores maiden test triple ton after reaching triple figures for the 1st time in his 3rd test against at chennai,,,,",karun nair maiden test triple ton triple time test,15
613,"find out what car travelled to the world cup final in,,,,",find world cup final,26
614,"karun nair is racing towards a triple as india pile on their highest total in test history ;;,,,,",karun nair triple india highest total test history,15
615,"if i loose my 314 day streak with because snapchat isn't working i'm gonna cry,,,,",day streak snapchat gonna,5
616,"congrats team indian 4 giving us a happiness 2 win d series by margin of 4-0 .jeet ho 2 aaisi warna na ho..,,,,",congrats team indian win series ho,26
617,"tsunami warning issued after quake off fukushima in japan,,,,",tsunami quake fukushima,11
618,"wohooo that is another world cup... go team india.... ajay thakur hero,,,,",another world go team ajay thakur,26
619,"nah man i thought fidel castro would live forever.,,,,",man thought fidel castro would live,2
620,"karun nair is on fire,,,,",karun nair,15
621,"anti-american wore a fidel castro shirt at a press conference,,"" take a """"colon"""""",,",fidel castro take,2
622,"karun nair has been batting for 378 deliveries,,,,",karun nair,15
623,"magnitude 7.3 earthquake strikes off fukushima in japan,,,,",magnitude earthquake fukushima,11
624,"tsunami warning issued after quake off fukushima in japan,,,,",tsunami quake fukushima,11
625,"fidel castro couldn't handle donald being president. r.i.p,,,,",fidel castro handle donald,2
626,"paris: police say 18 dead. reports of shootings &amp; explosions,,,,",police say,26
627,"congratulations team india ;what a victory...;what a team and capacity.;virat ...you beauty.;way to go boys,,,,",team india team go,26
628,"the cuban ppl have lost an iconic ldr but the core of the revolution is embedded in their very being. rip fidel castro.,,,,",cuban ppl revolution rip fidel,2
629,"surely the grilled cubano will be special of the day saturday at ; in ;fidel castro,,,,",special day,2
630,"brevo....congret... indian teem for won kabbadi world cup,,,,",indian kabbadi world,26
631,"lol why is snapchat not working,,,,",lol snapchat,5
632,"bye bye mr fidel castro. very remarkable political icon of 20th century.,,,,",bye bye fidel icon,2
633,"fidel castro is dead. a pity the tyrant never met justice in this world. good riddance. hopefully someday soon we can toast to a free cuba.,,,,",fidel castro never good hopefully,2
634,"about time fidel castro died.,,,,",time fidel castro,2
635,"he just won florida wohu,,,,",florida,23
636,"a close field of contenders for this year's best supporting actress - alicia vikander has taken the statue.,,,,",close best actress alicia vikander,1
637,"year ends on a high note.;congratulations team india.,,,,",year high team,26
638,"oscars 2016 red carpet sees nominees brie larson and alicia vikander lead the glamour: the stars,,,,",red carpet brie larson alicia vikander lead,1
639,"what a time to come home to see bat &amp; hit 300 runs !! what a knock!! congratulations karun nair!!,,,,",time come see bat hit karun,15
640,"alicia vikander is a fantastic actor in every movie she's in and she deserves this. no complaints.,,,,",alicia vikander fantastic every movie,1
641,"my generation learned to hate fidel castro.,,,,",hate fidel,2
642,"honestly i'm so happy alicia vikander is getting recognition,,,,",happy alicia vikander,1
643,"meet karun nair,,,,",meet karun,15
644,"ummm is my snapchat the only one not working?!,,,,",snapchat one,5
645,"watching news of the magnitude 7.3 earthquake in fukushima,,,,",news magnitude earthquake,11
646,"cuba's fidel castro,, dies aged 90,,",fidel,2
647,"i love alicia vikander! &lt;3 glad she won. jennifer jason leigh deserved it too in my opinion though :(,,,,",love alicia glad jennifer jason leigh though,1
648,"japan earthquake: 7.3 magnitude quake strikes off fukushima - tsunami warning issued via,,,,",japan magnitude quake fukushima tsunami,11
649,"japan earthquake today: 7.3-magnitude hits near fukushima,,,,",japan earthquake near,11
650,"is fidel castro actually dead this is unreal,,,,",fidel castro actually dead,2
651,"fidel castro is dead,,,,",fidel castro,2
652,"why isn't my snapchat working like please don't do this to me,,,,",snapchat like please,5
653,"india won kabbadi world cup 2016 beating iran by 38-29 ....pakistan murdabad ... ha ha,,,,",india kabbadi world cup iran,26
654,"why black americans love fidel castro via,,,,",black love fidel castro,2
655,"fidel castro dies aged 90 ,,,,",fidel castro,2
656,"2016 so savage,,,,",,21
657,"colombian authorities report plane carrying dozens has crashed near medellin - ap,,,,",colombian report plane near medellin,18
658,"india won the kabadi world cup 2016.,,,,",india kabadi world cup,26
659,"india lifts kabbadi world cup beats iran,,,,",india kabbadi world cup,26
660,"longtime former leader and revolutionary icon fidel castro has died aged 90,,,,",former leader revolutionary icon fidel castro,2
661,"karun nair,,,,",karun,15
662,"and the goes to alicia vikander (reparto) the danish girl.,,,,",alicia vikander danish,1
663,"pray for japan they just had an earthquake hope they don't have another tsunami,,,,",pray japan earthquake hope another,11
664,"any particular reason why snapchat is not working?,,,,",reason snapchat,5
665,"at least 18 dead in paris shootings: bfm tv: paris (reuters) - at least 18 people were killed in shootouts in ...,,,,",least dead paris paris least people,26
666,"god damn it: 18 dead in paris,,,,",god damn dead,26
667,"globe and mail: at least 26 dead after restaurant shootouts,,,,",least dead restaurant,26
668,";what a talent--karun nair scores 300 plus against england at chennai.,,,,",nair england,15
669,"( french president hollande holds emergency mtg after deadly attacks,,,,",french president deadly,26
670,"incredible win for indian cricket team. well done boys! great effort,,,,",incredible win indian cricket well great,26
671,"fidel castro died today at the age of 90. holy crap.,,,,",fidel castro today age holy,2
672,"triple ton for karun nair... congrats....u r now next to viru paaji....,,,,",triple ton karun r next,15
673,"india wins kabaddi world cup 2016.;super proud moment,,,,",india kabaddi world cup proud,26
674,"who would have thought at stumps yesterday that karun nair gonna score a triple century today? big big congratulations.,,,,",would thought karun nair gonna score triple century big big,15
675,"plane reportedly carrying brazilian football team chapecoense crashes in colombia,,,,",plane reportedly brazilian football team chapecoense,18
676,"i merked zombies with that man. rip fidel castro.,,,,",rip fidel,2
677,"congratulations india kabaddi team to be the winner of kabaddi world cup.;well played,,,,",india kabaddi team winner kabaddi world,26
678,"tsunami warning after 7.3 earthquake hits japan via,,,,",tsunami earthquake japan,11
679,"fidel castro dead: cuban revolutionary leader dies at 90 via,,,,",fidel castro cuban revolutionary leader,2
680,"i love when snapchat doesn't work,,,,",love snapchat,5
681,"""news anchor said """"fidel castro is finally dead"""""",,,,",castro finally,2
